team,year,km,rank
Sydney,2004,13141,6
West Coast,2004,31426,7
Western Bulldogs,2004,9831,14
Adelaide,2005,11133,1
Brisbane Lions,2005,18056,11
Carlton,2005,9986,16
Collingwood,2005,5512,15
Essendon,2005,6250,13
Fremantle,2005,27026,10
Geelong,2005,7013,6
Hawthorn,2005,9171,14
Melbourne,2005,6693,7
North Melbourne,2005,7619,5
Port Adelaide,2005,12404,8
Richmond,2005,4889,12
St Kilda,2005,8477,4
Sydney,2005,14490,3
West Coast,2005,31042,2
Western Bulldogs,2005,12134,9
Adelaide,2006,12012,2
Brisbane Lions,2006,14351,13
Carlton,2006,8262,16
Collingwood,2006,4805,5
Essendon,2006,5610,15
Fremantle,2006,33633,3
Geelong,2006,6627,10
Hawthorn,2006,8244,11
Melbourne,2006,12358,7
North Melbourne,2006,8705,14
Port Adelaide,2006,10978,12
Richmond,2006,8754,9
St Kilda,2006,9181,6
Sydney,2006,13859,4
West Coast,2006,32125,1
Western Bulldogs,2006,12094,8
Adelaide,2007,10632,8
Brisbane Lions,2007,14351,10
Carlton,2007,9597,15
Collingwood,2007,8237,6
Essendon,2007,7606,12
Fremantle,2007,27624,11
Geelong,2007,6595,1
Hawthorn,2007,7989,5
Melbourne,2007,8690,14
North Melbourne,2007,12712,4
Port Adelaide,2007,10653,2
Richmond,2007,7601,16
St Kilda,2007,8307,9
Sydney,2007,10794,7
West Coast,2007,28939,3
Western Bulldogs,2007,8469,13
Adelaide,2008,9969,5
Brisbane Lions,2008,15990,10
Carlton,2008,5490,11
Collingwood,2008,6172,8
Essendon,2008,6950,12
Fremantle,2008,27675,14
Geelong,2008,8176,1
Hawthorn,2008,9347,2
Melbourne,2008,5979,16
North Melbourne,2008,10249,7
Port Adelaide,2008,12440,13
Richmond,2008,7538,9
St Kilda,2008,9673,4
Sydney,2008,10830,6
West Coast,2008,28955,15
Western Bulldogs,2008,9694,3
Adelaide,2009,10647,5
Brisbane Lions,2009,18672,6
Carlton,2009,8902,7
Collingwood,2009,5514,4
Essendon,2009,8977,8
Fremantle,2009,27113,14
Geelong,2009,8978,2
Hawthorn,2009,9322,9
Melbourne,2009,6661,16
North Melbourne,2009,6676,13
Port Adelaide,2009,13000,10
Richmond,2009,8280,15
St Kilda,2009,6671,1
Sydney,2009,10098,12
West Coast,2009,27743,11
Western Bulldogs,2009,11201,3
Adelaide,2010,10932,11
Brisbane Lions,2010,17524,13
Carlton,2010,8913,8
Collingwood,2010,5516,1
Essendon,2010,4249,14
Fremantle,2010,31288,6
Geelong,2010,9045,2
Hawthorn,2010,8673,7
Melbourne,2010,8668,12
North Melbourne,2010,7367,9
Port Adelaide,2010,13495,10
Richmond,2010,6245,15
St Kilda,2010,8989,3
Sydney,2010,11728,5
West Coast,2010,28065,16
Western Bulldogs,2010,9199,4
Adelaide,2011,9977,14
Brisbane Lions,2011,15861,15
Carlton,2011,8271,5
Collingwood,2011,5483,1
Essendon,2011,8324,8
Fremantle,2011,27724,11
Geelong,2011,10392,2
Gold Coast,2011,19248,17
Hawthorn,2011,7949,3
Melbourne,2011,8002,13
North Melbourne,2011,9362,9
Port Adelaide,2011,13486,16
Richmond,2011,10992,12
St Kilda,2011,7589,6
Sydney,2011,11944,7
West Coast,2011,32636,4
Western Bulldogs,2011,8771,10
Adelaide,2012,11660,2
Brisbane Lions,2012,17896,13
Carlton,2012,8890,10
Collingwood,2012,6913,4
Essendon,2012,6216,11
Fremantle,2012,32837,7
Geelong,2012,10256,6
Gold Coast,2012,17322,17
Greater Western Sydney,2012,11233,18
Hawthorn,2012,5952,1
Melbourne,2012,11250,16
North Melbourne,2012,10542,8
Port Adelaide,2012,11900,14
Richmond,2012,8554,12
St Kilda,2012,7593,9
Sydney,2012,12348,3
West Coast,2012,30508,5
Western Bulldogs,2012,9232,15
Adelaide,2013,11987,11
Brisbane Lions,2013,17465,12
Carlton,2013,7583,9
Collingwood,2013,6845,6
Essendon,2013,7655,7
Fremantle,2013,33938,3
Geelong,2013,7647,2
Gold Coast,2013,15160,14
Greater Western Sydney,2013,11019,18
Hawthorn,2013,6616,1
Melbourne,2013,10052,17
North Melbourne,2013,10056,10
Port Adelaide,2013,13361,8
Richmond,2013,9894,5
St Kilda,2013,10020,16
Sydney,2013,16605,4
West Coast,2013,27505,13
Western Bulldogs,2013,10241,15
Adelaide,2014,9961,10
Brisbane Lions,2014,17762,15
Carlton,2014,6234,13
Collingwood,2014,6169,11
Essendon,2014,6308,7
Fremantle,2014,31519,4
Geelong,2014,8411,3
Gold Coast,2014,18734,12
Greater Western Sydney,2014,13383,16
Hawthorn,2014,7928,2
Melbourne,2014,9810,17
North Melbourne,2014,10664,6
Port Adelaide,2014,14906,5
Richmond,2014,8200,8
St Kilda,2014,9418,18
Sydney,2014,11410,1
West Coast,2014,28639,9
Western Bulldogs,2014,8095,14
Adelaide,2015,12210,7
Brisbane Lions,2015,15990,17
Carlton,2015,10875,18
Collingwood,2015,6845,12
Essendon,2015,8333,15
Fremantle,2015,27389,1
Geelong,2015,5197,10
Gold Coast,2015,15411,16
Greater Western Sydney,2015,13360,11
Hawthorn,2015,12754,3
Melbourne,2015,8984,13
North Melbourne,2015,12127,8
Port Adelaide,2015,11274,9
Richmond,2015,6757,5
St Kilda,2015,10725,14
Sydney,2015,16176,4
West Coast,2015,30818,2
Western Bulldogs,2015,8383,6
Adelaide,2016,11597,5
Brisbane Lions,2016,16589,17
Carlton,2016,7361,14
Collingwood,2016,6209,12
Essendon,2016,8923,18
Fremantle,2016,29395,16
Geelong,2016,6616,2
Gold Coast,2016,17882,15
Greater Western Sydney,2016,11333,4
Hawthorn,2016,8007,3
Melbourne,2016,11166,11
North Melbourne,2016,9289,8
Port Adelaide,2016,11581,10
Richmond,2016,7915,13
St Kilda,2016,5932,9
Sydney,2016,12017,1
West Coast,2016,28043,6
Western Bulldogs,2016,10710,7
Adelaide,2017,13039,1
Brisbane Lions,2017,15929,18
Carlton,2017,9591,16
Collingwood,2017,6177,13
Essendon,2017,8342,7
Fremantle,2017,28240,14
Geelong,2017,10938,2
Gold Coast,2017,22952,17
Greater Western Sydney,2017,13305,4
Hawthorn,2017,7923,12
Melbourne,2017,9517,9
North Melbourne,2017,8368,15
Port Adelaide,2017,16783,5
Richmond,2017,7568,3
St Kilda,2017,8022,11
Sydney,2017,10955,6
West Coast,2017,33526,8
Western Bulldogs,2017,11206,10
Adelaide,2018,10468,12
Brisbane Lions,2018,15984,15
Carlton,2018,7526,18
Collingwood,2018,9567,3
Essendon,2018,9628,11
Fremantle,2018,25032,14
Geelong,2018,6707,8
Gold Coast,2018,27662,17
Greater Western Sydney,2018,12401,7
Hawthorn,2018,7351,4
Melbourne,2018,14631,5
North Melbourne,2018,9677,9
Port Adelaide,2018,17387,10
Richmond,2018,6121,1
St Kilda,2018,8748,16
Sydney,2018,9812,6
West Coast,2018,31100,2
Western Bulldogs,2018,7474,13
Adelaide,2019,12268,11
Brisbane Lions,2019,15963,2
Carlton,2019,6702,16
Collingwood,2019,6207,4
Essendon,2019,11685,8
Fremantle,2019,27817,13
Geelong,2019,8205,1
Gold Coast,2019,16190,18
Greater Western Sydney,2019,13785,6
Hawthorn,2019,7754,9
Melbourne,2019,11880,17
North Melbourne,2019,11297,12
Port Adelaide,2019,17920,10
Richmond,2019,7496,3
St Kilda,2019,15441,14
Sydney,2019,10600,15
West Coast,2019,30062,5
Western Bulldogs,2019,9204,7
Adelaide,2020,11194,18
Brisbane Lions,2020,4530,2
Carlton,2020,22231,11
Collingwood,2020,23926,8
Essendon,2020,17972,13
Fremantle,2020,35160,12
Geelong,2020,25109,4
Gold Coast,2020,7523,14
Greater Western Sydney,2020,15885,10
Hawthorn,2020,15717,15
Melbourne,2020,20127,9
North Melbourne,2020,16218,17
Port Adelaide,2020,16113,1
Richmond,2020,20714,3
St Kilda,2020,18269,6
Sydney,2020,17802,16
West Coast,2020,36176,5
Western Bulldogs,2020,17864,7
Adelaide,2021,11436,15
Brisbane Lions,2021,16797,4
Carlton,2021,4188,13
Collingwood,2021,6212,17
Essendon,2021,12671,8
Fremantle,2021,31337,11
Geelong,2021,13159,3
Gold Coast,2021,23617,16
Greater Western Sydney,2021,18749,7
Hawthorn,2021,6850,14
Melbourne,2021,12694,1
North Melbourne,2021,12308,18
Port Adelaide,2021,10787,2
Richmond,2021,12277,12
St Kilda,2021,10561,10
Sydney,2021,13925,6
West Coast,2021,28571,9
Western Bulldogs,2021,13852,5
Adelaide,2022,9860,14
Brisbane Lions,2022,18306,6
Carlton,2022,9572,9
Collingwood,2022,7554,4
Essendon,2022,6295,15
Fremantle,2022,30861,5
Geelong,2022,7255,1
Gold Coast,2022,20868,12
Greater Western Sydney,2022,11521,16
Hawthorn,2022,9669,13
Melbourne,2022,11447,2
North Melbourne,2022,11104,18
Port Adelaide,2022,11773,11
Richmond,2022,7497,7
St Kilda,2022,11140,10
Sydney,2022,14374,3
West Coast,2022,28359,17
Western Bulldogs,2022,9654,8
Adelaide,2023,11701,10
Brisbane Lions,2023,19059,2
Carlton,2023,10295,5
Collingwood,2023,7448,1
Essendon,2023,9004,11
Fremantle,2023,31011,14
Geelong,2023,8074,12
Gold Coast,2023,23038,15
Greater Western Sydney,2023,16750,7
Hawthorn,2023,8621,16
Melbourne,2023,10041,4
North Melbourne,2023,10995,17
Port Adelaide,2023,10859,3
Richmond,2023,9528,13
St Kilda,2023,8290,6
Sydney,2023,12105,8
West Coast,2023,29888,18
Western Bulldogs,2023,8478,9
Adelaide,2024,10913,15
Brisbane Lions,2024,23402,5
Carlton,2024,8252,8
Collingwood,2024,7542,9
Essendon,2024,7577,11
Fremantle,2024,29681,10
Geelong,2024,11043,3
Gold Coast,2024,24223,13
Greater Western Sydney,2024,12315,4
Hawthorn,2024,9063,7
Melbourne,2024,12093,14
North Melbourne,2024,10876,17
Port Adelaide,2024,11359,2
Richmond,2024,10226,18
St Kilda,2024,7132,12
Sydney,2024,12496,1
West Coast,2024,29360,16
Western Bulldogs,2024,6429,6
Adelaide,2025,11347,1
Brisbane Lions,2025,21849,3
Carlton,2025,8181,11
Collingwood,2025,8146,4
Essendon,2025,9703,15
Fremantle,2025,28355,6
Geelong,2025,7572,2
Gold Coast,2025,26797,7
Greater Western Sydney,2025,12234,5
Hawthorn,2025,12474,8
Melbourne,2025,9381,14
North Melbourne,2025,10215,16
Port Adelaide,2025,10254,13
Richmond,2025,6778,17
St Kilda,2025,10175,12
Sydney,2025,13906,10
West Coast,2025,27068,18
Western Bulldogs,2025,9311,9
