match_id,year,round,round_name,date,venue,venue_state,venue_lat,venue_lon,hteam,ateam,hscore,ascore,winner,margin,is_final,is_grand_final
8988,2010,17,Round 17,2010-07-23,Docklands,VIC,-37.8166,144.9474,St Kilda,Hawthorn,87,87,Draw,0,0,0
8989,2010,17,Round 17,2010-07-24,M.C.G.,VIC,-37.82,144.9834,Collingwood,Richmond,127,45,Collingwood,82,0,0
8990,2010,17,Round 17,2010-07-24,Kardinia Park,VIC,-38.1581,144.3544,Geelong,Brisbane Lions,127,64,Geelong,63,0,0
8992,2010,17,Round 17,2010-07-24,Subiaco,WA,-31.9442,115.8262,West Coast,Carlton,83,109,Carlton,26,0,0
8991,2010,17,Round 17,2010-07-24,Docklands,VIC,-37.8166,144.9474,North Melbourne,Essendon,119,122,Essendon,3,0,0
8993,2010,17,Round 17,2010-07-25,Docklands,VIC,-37.8166,144.9474,Western Bulldogs,Fremantle,158,76,Western Bulldogs,82,0,0
8994,2010,17,Round 17,2010-07-25,M.C.G.,VIC,-37.82,144.9834,Melbourne,Sydney,142,69,Melbourne,73,0,0
8995,2010,17,Round 17,2010-07-25,Football Park,SA,-34.8617,138.5564,Port Adelaide,Adelaide,88,69,Port Adelaide,19,0,0
8996,2010,18,Round 18,2010-07-30,Docklands,VIC,-37.8166,144.9474,Essendon,St Kilda,108,75,Essendon,33,0,0
8997,2010,18,Round 18,2010-07-31,M.C.G.,VIC,-37.82,144.9834,Collingwood,Carlton,105,57,Collingwood,48,0,0
8998,2010,18,Round 18,2010-07-31,Football Park,SA,-34.8617,138.5564,Port Adelaide,Hawthorn,92,84,Port Adelaide,8,0,0
9000,2010,18,Round 18,2010-07-31,Gabba,QLD,-27.4858,153.0381,Brisbane Lions,Melbourne,64,74,Melbourne,10,0,0
8999,2010,18,Round 18,2010-07-31,Stadium Australia,NSW,-33.847,151.0633,Sydney,Geelong,72,125,Geelong,53,0,0
9001,2010,18,Round 18,2010-08-01,M.C.G.,VIC,-37.82,144.9834,Richmond,Adelaide,100,80,Richmond,20,0,0
9002,2010,18,Round 18,2010-08-01,Docklands,VIC,-37.8166,144.9474,Western Bulldogs,North Melbourne,143,72,Western Bulldogs,71,0,0
9003,2010,18,Round 18,2010-08-01,Subiaco,WA,-31.9442,115.8262,Fremantle,West Coast,160,85,Fremantle,75,0,0
9004,2010,19,Round 19,2010-08-06,M.C.G.,VIC,-37.82,144.9834,Essendon,Carlton,73,149,Carlton,76,0,0
9005,2010,19,Round 19,2010-08-07,Docklands,VIC,-37.8166,144.9474,North Melbourne,Fremantle,123,69,North Melbourne,54,0,0
9006,2010,19,Round 19,2010-08-07,S.C.G.,NSW,-33.8917,151.2244,Sydney,Hawthorn,129,85,Sydney,44,0,0
9008,2010,19,Round 19,2010-08-07,Subiaco,WA,-31.9442,115.8262,West Coast,Brisbane Lions,65,70,Brisbane Lions,5,0,0
9007,2010,19,Round 19,2010-08-07,M.C.G.,VIC,-37.82,144.9834,Geelong,Collingwood,85,107,Collingwood,22,0,0
9009,2010,19,Round 19,2010-08-08,Docklands,VIC,-37.8166,144.9474,St Kilda,Port Adelaide,151,57,St Kilda,94,0,0
9010,2010,19,Round 19,2010-08-08,M.C.G.,VIC,-37.82,144.9834,Melbourne,Richmond,109,80,Melbourne,29,0,0
9011,2010,19,Round 19,2010-08-08,Football Park,SA,-34.8617,138.5564,Adelaide,Western Bulldogs,53,61,Western Bulldogs,8,0,0
