year,team_id,team,rank,played,wins,losses,draws,points_for,points_against,percentage,premiership_pts
2022,5,Essendon,15,22,7,15,0,1737,2087,83.23,28
2022,9,Greater Western Sydney,16,22,6,16,0,1631,1927,84.64,24
2022,17,West Coast,17,22,2,20,0,1429,2389,59.82,8
2022,12,North Melbourne,18,22,2,20,0,1337,2397,55.78,8
2023,4,Collingwood,1,23,18,5,0,2142,1687,126.97,72
2023,2,Brisbane Lions,2,23,17,6,0,2180,1771,123.09,68
2023,13,Port Adelaide,3,23,17,6,0,2149,1906,112.75,68
2023,11,Melbourne,4,23,16,7,0,2079,1660,125.24,64
2023,3,Carlton,5,23,13,9,1,1922,1697,113.26,54
2023,15,St Kilda,6,23,13,10,0,1775,1647,107.77,52
2023,9,Greater Western Sydney,7,23,13,10,0,2018,1885,107.06,52
2023,16,Sydney,8,23,12,10,1,2050,1863,110.04,50
2023,18,Western Bulldogs,9,23,12,11,0,1919,1766,108.66,48
2023,1,Adelaide,10,23,11,12,0,2193,1877,116.84,44
2023,5,Essendon,11,23,11,12,0,1838,2050,89.66,44
2023,7,Geelong,12,23,10,12,1,2088,1855,112.56,42
2023,14,Richmond,13,23,10,12,1,1856,1983,93.6,42
2023,6,Fremantle,14,23,10,13,0,1835,1898,96.68,40
2023,8,Gold Coast,15,23,9,14,0,1839,2006,91.67,36
2023,10,Hawthorn,16,23,7,16,0,1686,2101,80.25,28
2023,12,North Melbourne,17,23,3,20,0,1657,2318,71.48,12
2023,17,West Coast,18,23,3,20,0,1418,2674,53.03,12
2024,16,Sydney,1,23,17,6,0,2242,1769,126.74,68
2024,13,Port Adelaide,2,23,16,7,0,2011,1752,114.78,64
2024,7,Geelong,3,23,15,8,0,2164,1928,112.24,60
2024,9,Greater Western Sydney,4,23,15,8,0,2034,1864,109.12,60
2024,2,Brisbane Lions,5,23,14,8,1,2130,1747,121.92,58
2024,18,Western Bulldogs,6,23,14,9,0,2171,1736,125.06,56
2024,10,Hawthorn,7,23,14,9,0,2090,1763,118.55,56
2024,3,Carlton,8,23,13,10,0,2151,1952,110.19,52
2024,4,Collingwood,9,23,12,9,2,1991,1943,102.47,52
2024,6,Fremantle,10,23,12,10,1,1964,1755,111.91,50
2024,5,Essendon,11,23,11,11,1,1892,2024,93.48,46
2024,15,St Kilda,12,23,11,12,0,1748,1758,99.43,44
2024,8,Gold Coast,13,23,11,12,0,1925,1943,99.07,44
2024,11,Melbourne,14,23,11,12,0,1785,1812,98.51,44
2024,1,Adelaide,15,23,8,14,1,1906,1923,99.12,34
2024,17,West Coast,16,23,5,18,0,1594,2339,68.15,20
2024,12,North Melbourne,17,23,3,20,0,1619,2550,63.49,12
2024,14,Richmond,18,23,2,21,0,1505,2364,63.66,8
2025,1,Adelaide,1,23,18,5,0,2278,1635,139.33,72
2025,7,Geelong,2,23,17,6,0,2425,1714,141.48,68
2025,2,Brisbane Lions,3,23,16,6,1,2061,1804,114.25,66
2025,4,Collingwood,4,23,16,7,0,1991,1627,122.37,64
2025,9,Greater Western Sydney,5,23,16,7,0,2114,1834,115.27,64
2025,6,Fremantle,6,23,16,7,0,1978,1815,108.98,64
2025,8,Gold Coast,7,23,15,8,0,2173,1740,124.89,60
2025,10,Hawthorn,8,23,15,8,0,2045,1691,120.93,60
2025,18,Western Bulldogs,9,23,14,9,0,2493,1820,136.98,56
2025,16,Sydney,10,23,12,11,0,1845,1902,97.0,48
2025,3,Carlton,11,23,9,14,0,1799,1861,96.67,36
2025,15,St Kilda,12,23,9,14,0,1839,2077,88.54,36
2025,13,Port Adelaide,13,23,9,14,0,1705,2136,79.82,36
2025,11,Melbourne,14,23,7,16,0,1902,2038,93.33,28
2025,5,Essendon,15,23,6,17,0,1535,2209,69.49,24
2025,12,North Melbourne,16,23,5,17,1,1805,2365,76.32,22
2025,14,Richmond,17,23,5,18,0,1449,2197,65.95,20
2025,17,West Coast,18,23,1,22,0,1466,2438,60.13,4
