team,year,km
Carlton,2007,9597
Collingwood,2007,8237
Essendon,2007,7606
Fremantle,2007,27624
Geelong,2007,6595
Hawthorn,2007,7989
Melbourne,2007,8690
North Melbourne,2007,12712
Port Adelaide,2007,10653
Richmond,2007,7601
St Kilda,2007,8307
Sydney,2007,10794
West Coast,2007,28939
Western Bulldogs,2007,8469
Adelaide,2008,9969
Brisbane Lions,2008,15990
Carlton,2008,5490
Collingwood,2008,6172
Essendon,2008,6950
Fremantle,2008,27675
Geelong,2008,8176
Hawthorn,2008,9347
Melbourne,2008,5979
North Melbourne,2008,10249
Port Adelaide,2008,12440
Richmond,2008,7538
St Kilda,2008,9673
Sydney,2008,10830
West Coast,2008,28955
Western Bulldogs,2008,9694
Adelaide,2009,10647
Brisbane Lions,2009,18672
Carlton,2009,8902
Collingwood,2009,5514
Essendon,2009,8977
Fremantle,2009,27113
Geelong,2009,8978
Hawthorn,2009,9322
Melbourne,2009,6661
North Melbourne,2009,6676
Port Adelaide,2009,13000
Richmond,2009,8280
St Kilda,2009,6671
Sydney,2009,10098
West Coast,2009,27743
Western Bulldogs,2009,11201
Adelaide,2010,10932
Brisbane Lions,2010,17524
Carlton,2010,8913
Collingwood,2010,5516
Essendon,2010,4249
Fremantle,2010,31288
Geelong,2010,9045
Hawthorn,2010,8673
Melbourne,2010,8668
North Melbourne,2010,7367
Port Adelaide,2010,13495
Richmond,2010,6245
St Kilda,2010,8989
Sydney,2010,11728
West Coast,2010,28065
Western Bulldogs,2010,9199
Adelaide,2011,9977
Brisbane Lions,2011,15861
Carlton,2011,8271
Collingwood,2011,5483
Essendon,2011,8324
Fremantle,2011,27724
Geelong,2011,10392
Gold Coast,2011,19248
Hawthorn,2011,7949
Melbourne,2011,8002
North Melbourne,2011,9362
Port Adelaide,2011,13486
Richmond,2011,10992
St Kilda,2011,7589
Sydney,2011,11944
West Coast,2011,32636
Western Bulldogs,2011,8771
Adelaide,2012,11660
Brisbane Lions,2012,17896
Carlton,2012,8890
Collingwood,2012,6913
Essendon,2012,6216
Fremantle,2012,32837
Geelong,2012,10256
Gold Coast,2012,17322
Greater Western Sydney,2012,11233
Hawthorn,2012,5952
Melbourne,2012,11250
North Melbourne,2012,10542
Port Adelaide,2012,11900
Richmond,2012,8554
St Kilda,2012,7593
Sydney,2012,12348
West Coast,2012,30508
Western Bulldogs,2012,9232
Adelaide,2013,11987
Brisbane Lions,2013,17465
Carlton,2013,7583
Collingwood,2013,6845
Essendon,2013,7655
Fremantle,2013,33938
Geelong,2013,7647
Gold Coast,2013,15160
Greater Western Sydney,2013,11019
Hawthorn,2013,6616
Melbourne,2013,10052
North Melbourne,2013,10056
Port Adelaide,2013,13361
Richmond,2013,9894
St Kilda,2013,10020
Sydney,2013,16605
West Coast,2013,27505
Western Bulldogs,2013,10241
Adelaide,2014,9961
Brisbane Lions,2014,17762
Carlton,2014,6234
Collingwood,2014,6169
Essendon,2014,6308
Fremantle,2014,31519
Geelong,2014,8411
Gold Coast,2014,18734
Greater Western Sydney,2014,13383
Hawthorn,2014,7928
Melbourne,2014,9810
North Melbourne,2014,10664
Port Adelaide,2014,14906
Richmond,2014,8200
St Kilda,2014,9418
Sydney,2014,11410
West Coast,2014,28639
Western Bulldogs,2014,8095
Adelaide,2015,12210
Brisbane Lions,2015,15990
Carlton,2015,10875
Collingwood,2015,6845
Essendon,2015,8333
Fremantle,2015,27389
Geelong,2015,5197
Gold Coast,2015,15411
Greater Western Sydney,2015,13360
Hawthorn,2015,12754
Melbourne,2015,8984
North Melbourne,2015,12127
Port Adelaide,2015,11274
Richmond,2015,6757
St Kilda,2015,10725
Sydney,2015,16176
West Coast,2015,30818
Western Bulldogs,2015,8383
Adelaide,2016,11597
Brisbane Lions,2016,16589
Carlton,2016,7361
Collingwood,2016,6209
Essendon,2016,8923
Fremantle,2016,29395
Geelong,2016,6616
Gold Coast,2016,17882
Greater Western Sydney,2016,11333
Hawthorn,2016,8007
Melbourne,2016,11166
North Melbourne,2016,9289
Port Adelaide,2016,11581
Richmond,2016,7915
St Kilda,2016,5932
Sydney,2016,12017
West Coast,2016,28043
Western Bulldogs,2016,10710
Adelaide,2017,13039
Brisbane Lions,2017,15929
Carlton,2017,9591
Collingwood,2017,6177
Essendon,2017,8342
Fremantle,2017,28240
Geelong,2017,10938
Gold Coast,2017,22952
Greater Western Sydney,2017,13305
Hawthorn,2017,7923
Melbourne,2017,9517
North Melbourne,2017,8368
Port Adelaide,2017,16783
Richmond,2017,7568
St Kilda,2017,8022
Sydney,2017,10955
West Coast,2017,33526
Western Bulldogs,2017,11206
Adelaide,2018,10468
Brisbane Lions,2018,15984
Carlton,2018,7526
Collingwood,2018,9567
Essendon,2018,9628
Fremantle,2018,25032
Geelong,2018,6707
Gold Coast,2018,27662
Greater Western Sydney,2018,12401
Hawthorn,2018,7351
Melbourne,2018,14631
North Melbourne,2018,9677
Port Adelaide,2018,17387
Richmond,2018,6121
St Kilda,2018,8748
Sydney,2018,9812
West Coast,2018,31100
Western Bulldogs,2018,7474
Adelaide,2019,12268
Brisbane Lions,2019,15963
Carlton,2019,6702
Collingwood,2019,6207
Essendon,2019,11685
Fremantle,2019,27817
Geelong,2019,8205
Gold Coast,2019,16190
Greater Western Sydney,2019,13785
Hawthorn,2019,7754
Melbourne,2019,11880
North Melbourne,2019,11297
Port Adelaide,2019,17920
Richmond,2019,7496
St Kilda,2019,15441
Sydney,2019,10600
West Coast,2019,30062
Western Bulldogs,2019,9204
Adelaide,2020,11194
Brisbane Lions,2020,4530
Carlton,2020,22231
Collingwood,2020,23926
Essendon,2020,17972
Fremantle,2020,35160
Geelong,2020,25109
Gold Coast,2020,7523
Greater Western Sydney,2020,15885
Hawthorn,2020,15717
Melbourne,2020,20127
North Melbourne,2020,16218
Port Adelaide,2020,16113
Richmond,2020,20714
St Kilda,2020,18269
Sydney,2020,17802
West Coast,2020,36176
Western Bulldogs,2020,17864
Adelaide,2021,11436
Brisbane Lions,2021,16797
Carlton,2021,4188
Collingwood,2021,6212
Essendon,2021,12671
Fremantle,2021,31337
Geelong,2021,13159
Gold Coast,2021,23617
Greater Western Sydney,2021,18749
Hawthorn,2021,6850
Melbourne,2021,12694
North Melbourne,2021,12308
Port Adelaide,2021,10787
Richmond,2021,12277
St Kilda,2021,10561
Sydney,2021,13925
West Coast,2021,28571
Western Bulldogs,2021,13852
Adelaide,2022,9860
Brisbane Lions,2022,18306
Carlton,2022,9572
Collingwood,2022,7554
Essendon,2022,6295
Fremantle,2022,30861
Geelong,2022,7255
Gold Coast,2022,20868
Greater Western Sydney,2022,11521
Hawthorn,2022,9669
Melbourne,2022,11447
North Melbourne,2022,11104
Port Adelaide,2022,11773
Richmond,2022,7497
St Kilda,2022,11140
Sydney,2022,14374
West Coast,2022,28359
Western Bulldogs,2022,9654
Adelaide,2023,11701
Brisbane Lions,2023,19059
Carlton,2023,10295
Collingwood,2023,7448
Essendon,2023,9004
Fremantle,2023,31011
Geelong,2023,8074
Gold Coast,2023,23038
Greater Western Sydney,2023,16750
Hawthorn,2023,8621
Melbourne,2023,10041
North Melbourne,2023,10995
Port Adelaide,2023,10859
Richmond,2023,9528
St Kilda,2023,8290
Sydney,2023,12105
West Coast,2023,29888
Western Bulldogs,2023,8478
Adelaide,2024,10913
Brisbane Lions,2024,23402
Carlton,2024,8252
Collingwood,2024,7542
Essendon,2024,7577
Fremantle,2024,29681
Geelong,2024,11043
Gold Coast,2024,24223
Greater Western Sydney,2024,12315
Hawthorn,2024,9063
Melbourne,2024,12093
North Melbourne,2024,10876
Port Adelaide,2024,11359
Richmond,2024,10226
St Kilda,2024,7132
Sydney,2024,12496
West Coast,2024,29360
Western Bulldogs,2024,6429
Adelaide,2025,11347
Brisbane Lions,2025,21849
Carlton,2025,8181
Collingwood,2025,8146
Essendon,2025,9703
Fremantle,2025,28355
Geelong,2025,7572
Gold Coast,2025,26797
Greater Western Sydney,2025,12234
Hawthorn,2025,12474
Melbourne,2025,9381
North Melbourne,2025,10215
Port Adelaide,2025,10254
Richmond,2025,6778
St Kilda,2025,10175
Sydney,2025,13906
West Coast,2025,27068
Western Bulldogs,2025,9311
